scaffold	id	begin	end	size	transposable	taxonomy
SAMEA114390976_1	SAMEA114390976_1_prophage1	951380	1006506	55.126	False	Siphoviridae
SAMN02743874_27	SAMN02743874_27_prophage2	1681963	1736468	54.505	False	Siphoviridae
SAMN33550236_32	SAMN33550236_32_prophage1	2239	56718	54.479	False	Siphoviridae
SAMN16988090_1	SAMN16988090_1_prophage5	2090814	2145220	54.406	True	Siphoviridae
SAMN39327662_1	SAMN39327662_1_prophage2	1255073	1309467	54.394	False	Siphoviridae
SAMN15082156_1	SAMN15082156_1_prophage2	1216874	1271268	54.394	False	Siphoviridae
SAMN02603937_1	SAMN02603937_1_prophage2	1216143	1270537	54.394	False	Siphoviridae
SAMN04346870_1	SAMN04346870_1_prophage6	2214379	2268442	54.063	False	Siphoviridae
SAMN21874309_13	SAMN21874309_13_prophage1	28709	82572	53.863	False	Siphoviridae
SAMN05717759_6	SAMN05717759_6_prophage1	13118	66741	53.623	False	Siphoviridae
SAMN46400537_1	SAMN46400537_1_prophage2	2108688	2162218	53.53	False	Siphoviridae
SAMN46400503_1	SAMN46400503_1_prophage2	2108688	2162218	53.53	False	Siphoviridae
SAMN46169820_4	SAMN46169820_4_prophage1	84119	137649	53.53	False	Siphoviridae
SAMN43919990_1	SAMN43919990_1_prophage2	2108690	2162220	53.53	False	Siphoviridae
SAMN43771778_4	SAMN43771778_4_prophage1	84169	137699	53.53	False	Siphoviridae
SAMN43257761_4	SAMN43257761_4_prophage1	115372	168902	53.53	False	Siphoviridae
SAMN42007028_20	SAMN42007028_20_prophage1	84402	137932	53.53	False	Siphoviridae
SAMN41916868_1	SAMN41916868_1_prophage2	2108634	2162164	53.53	False	Siphoviridae
SAMN41018677_1	SAMN41018677_1_prophage1	84070	137600	53.53	False	Siphoviridae
SAMN40890045_1	SAMN40890045_1_prophage2	2374334	2427864	53.53	False	Siphoviridae
SAMN40716503_1	SAMN40716503_1_prophage2	1621172	1674702	53.53	False	Siphoviridae
SAMN32530372_1	SAMN32530372_1_prophage2	995388	1048918	53.53	False	Siphoviridae
SAMN31726903_1	SAMN31726903_1_prophage1	152482	206012	53.53	False	Siphoviridae
SAMN31580342_1	SAMN31580342_1_prophage2	2108698	2162228	53.53	False	Siphoviridae
SAMN14979736_1	SAMN14979736_1_prophage2	769944	823474	53.53	False	Siphoviridae
SAMN11952115_16	SAMN11952115_16_prophage1	84027	137557	53.53	False	Siphoviridae
SAMN10094466_1	SAMN10094466_1_prophage1	140295	193825	53.53	False	Siphoviridae
SAMN10094369_1	SAMN10094369_1_prophage2	766033	819563	53.53	False	Siphoviridae
SAMN09721150_1	SAMN09721150_1_prophage2	2616545	2670075	53.53	False	Siphoviridae
SAMN09705788_4	SAMN09705788_4_prophage1	84609	138139	53.53	False	Siphoviridae
SAMN09662691_1	SAMN09662691_1_prophage2	354988	408518	53.53	False	Siphoviridae
SAMN09087848_1	SAMN09087848_1_prophage3	2836186	2889716	53.53	False	Siphoviridae
SAMN07187784_9	SAMN07187784_9_prophage1	39467	92997	53.53	False	Siphoviridae
SAMN06464107_30	SAMN06464107_30_prophage1	84169	137699	53.53	False	Siphoviridae
SAMN06464105_38	SAMN06464105_38_prophage1	84169	137699	53.53	False	Siphoviridae
SAMN05726899_33	SAMN05726899_33_prophage1	115714	169244	53.53	False	Siphoviridae
SAMN05726895_40	SAMN05726895_40_prophage1	10903	64433	53.53	False	Siphoviridae
SAMN05726893_19	SAMN05726893_19_prophage1	115714	169244	53.53	False	Siphoviridae
SAMN38800458_1	SAMN38800458_1_prophage2	1620843	1674365	53.522	False	Siphoviridae
SAMN37720970_1	SAMN37720970_1_prophage3	2039860	2093202	53.342	False	Siphoviridae
SAMN41784237_6	SAMN41784237_6_prophage1	115177	168343	53.166	False	Siphoviridae
SAMN08741665_29	SAMN08741665_29_prophage1	3505	56671	53.166	False	Siphoviridae
SAMN10744007_12	SAMN10744007_12_prophage1	57063	109797	52.734	False	Siphoviridae
SAMN05966974_1	SAMN05966974_1_prophage1	385977	438459	52.482	False	Siphoviridae
SAMN39634866_1	SAMN39634866_1_prophage2	2066186	2118602	52.416	False	Siphoviridae
SAMEA115874927_3	SAMEA115874927_3_prophage1	204630	257028	52.398	True	Siphoviridae
SAMEA115874926_4	SAMEA115874926_4_prophage1	136672	189070	52.398	True	Siphoviridae
SAMEA115874902_3	SAMEA115874902_3_prophage1	204630	257028	52.398	True	Siphoviridae
SAMEA115874890_3	SAMEA115874890_3_prophage1	136672	189070	52.398	True	Siphoviridae
SAMN03272560_4	SAMN03272560_4_prophage1	150636	202640	52.004	False	Siphoviridae
SAMN40924847_1	SAMN40924847_1_prophage2	1142645	1194197	51.552	False	Siphoviridae
SAMN04528827_44	SAMN04528827_44_prophage1	95107	146656	51.549	False	Siphoviridae
SAMN18794464_1	SAMN18794464_1_prophage1	973976	1025250	51.274	False	Siphoviridae
SAMN04088866_14	SAMN04088866_14_prophage1	712170	763438	51.268	False	Siphoviridae
SAMN44629809_1	SAMN44629809_1_prophage2	2163251	2214486	51.235	False	Siphoviridae
SAMEA3138345_1	SAMEA3138345_1_prophage2	2164301	2215536	51.235	False	Siphoviridae
SAMN39328092_1	SAMN39328092_1_prophage2	2164312	2215546	51.234	False	Siphoviridae
SAMN11128907_1	SAMN11128907_1_prophage2	2164209	2215443	51.234	False	Siphoviridae
SAMEA5343125_13	SAMEA5343125_13_prophage1	95792	146989	51.197	False	Siphoviridae
SAMEA5333484_13	SAMEA5333484_13_prophage1	95827	147024	51.197	False	Siphoviridae
SAMEA104569287_120	SAMEA104569287_120_prophage1	95467	146664	51.197	False	Siphoviridae
SAMN41260139_6	SAMN41260139_6_prophage1	143559	194549	50.99	False	Siphoviridae
SAMN39710341_1	SAMN39710341_1_prophage2	538177	589116	50.939	False	Siphoviridae
SAMN42165365_26	SAMN42165365_26_prophage1	65410	116178	50.768	True	Siphoviridae
SAMN42165356_4	SAMN42165356_4_prophage1	68738	119506	50.768	True	Siphoviridae
SAMN40233026_1	SAMN40233026_1_prophage3	2726199	2776967	50.768	True	Siphoviridae
SAMN38411962_1	SAMN38411962_1_prophage2	2709841	2760609	50.768	True	Siphoviridae
SAMN31394698_56	SAMN31394698_56_prophage1	106497	157265	50.768	True	Siphoviridae
SAMN31394696_23	SAMN31394696_23_prophage1	241693	292461	50.768	True	Siphoviridae
SAMN37067336_23	SAMN37067336_23_prophage1	239808	290551	50.743	True	Siphoviridae
SAMN43437029_23	SAMN43437029_23_prophage2	427919	478630	50.711	False	Siphoviridae
SAMN30596894_59	SAMN30596894_59_prophage1	5263	55968	50.705	False	Siphoviridae
SAMN10984485_7	SAMN10984485_7_prophage1	5283	55987	50.704	False	Siphoviridae
SAMN08274863_1	SAMN08274863_1_prophage2	2218825	2269436	50.611	False	Siphoviridae
SAMN38286512_1	SAMN38286512_1_prophage6	2406015	2456476	50.461	True	Siphoviridae
SAMD00270045_2	SAMD00270045_2_prophage1	92849	143300	50.451	False	Siphoviridae
SAMN32317228_1	SAMN32317228_1_prophage3	2097984	2148036	50.052	False	Siphoviridae
SAMN10984513_24	SAMN10984513_24_prophage1	205088	255080	49.992	True	Siphoviridae
SAMN13870490_1	SAMN13870490_1_prophage2	2022999	2072533	49.534	False	Siphoviridae
SAMN43784999_2	SAMN43784999_2_prophage2	105341	154826	49.485	False	Siphoviridae
SAMN43784994_2	SAMN43784994_2_prophage2	105341	154826	49.485	False	Siphoviridae
SAMN31809226_12	SAMN31809226_12_prophage1	69387	118872	49.485	False	Siphoviridae
SAMEA111326087_1	SAMEA111326087_1_prophage1	944189	993266	49.077	True	Myoviridae
SAMN18323758_1	SAMN18323758_1_prophage2	2036317	2084903	48.586	False	Siphoviridae
SAMN16987128_1	SAMN16987128_1_prophage3	815180	863730	48.55	False	Siphoviridae
SAMN37067329_23	SAMN37067329_23_prophage1	72292	120629	48.337	True	Siphoviridae
SAMN33741210_1	SAMN33741210_1_prophage3	2720675	2769012	48.337	True	Siphoviridae
SAMN23771453_54	SAMN23771453_54_prophage1	303485	351822	48.337	True	Siphoviridae
SAMN15795379_1	SAMN15795379_1_prophage3	2096661	2144914	48.253	False	Siphoviridae
SAMN13735604_1	SAMN13735604_1_prophage2	978073	1026095	48.022	False	Siphoviridae
SAMN08432977_1	SAMN08432977_1_prophage2	1607052	1654930	47.878	False	Siphoviridae
SAMN43785002_2	SAMN43785002_2_prophage2	106967	154825	47.858	False	Siphoviridae
SAMN01731005_1	SAMN01731005_1_prophage1	322662	370408	47.746	True	Myoviridae
SAMN07672117_1	SAMN07672117_1_prophage2	651875	699290	47.415	False	Siphoviridae
SAMN08794387_1	SAMN08794387_1_prophage2	2117799	2165112	47.313	False	Siphoviridae
SAMN43379292_1	SAMN43379292_1_prophage1	365944	413065	47.121	False	Siphoviridae
SAMN17079224_88	SAMN17079224_88_prophage1	178491	225493	47.002	False	Siphoviridae
SAMN37256217_1	SAMN37256217_1_prophage3	1496040	1542990	46.95	True	Siphoviridae
SAMN14470504_1	SAMN14470504_1_prophage3	1395610	1442278	46.668	False	Siphoviridae
SAMN44596808_1	SAMN44596808_1_prophage2	1176816	1223475	46.659	False	Siphoviridae
SAMN15636629_20	SAMN15636629_20_prophage1	103512	150141	46.629	False	Myoviridae
SAMN02604115_1	SAMN02604115_1_prophage1	2039357	2085935	46.578	False	Siphoviridae
SAMN36427126_1	SAMN36427126_1_prophage3	1743415	1789921	46.506	True	Siphoviridae
SAMN33919460_5	SAMN33919460_5_prophage1	104110	150441	46.331	False	Siphoviridae
SAMEA115874933_5	SAMEA115874933_5_prophage1	71591	117911	46.32	True	Siphoviridae
SAMN07192734_1	SAMN07192734_1_prophage4	1993643	2039706	46.063	True	Myoviridae
SAMEA111326088_1	SAMEA111326088_1_prophage1	970961	1016930	45.969	False	Myoviridae
SAMN38143284_45	SAMN38143284_45_prophage1	73034	118954	45.92	True	Siphoviridae
SAMEA111326083_1	SAMEA111326083_1_prophage1	953181	999094	45.913	False	Myoviridae
SAMEA111326081_1	SAMEA111326081_1_prophage1	953183	999096	45.913	False	Myoviridae
SAMN08512091_1	SAMN08512091_1_prophage1	5118	51024	45.906	False	Siphoviridae
SAMN33741220_1	SAMN33741220_1_prophage1	515249	561133	45.884	True	Siphoviridae
SAMN33741219_1	SAMN33741219_1_prophage3	2555383	2601267	45.884	True	Siphoviridae
SAMN33741217_1	SAMN33741217_1_prophage3	2556997	2602881	45.884	True	Siphoviridae
SAMN33741198_1	SAMN33741198_1_prophage3	2527035	2572919	45.884	True	Siphoviridae
SAMN41372019_3	SAMN41372019_3_prophage1	117049	162932	45.883	True	Siphoviridae
SAMN41372018_3	SAMN41372018_3_prophage1	66767	112650	45.883	True	Siphoviridae
SAMN39634307_1	SAMN39634307_1_prophage3	2555777	2601646	45.869	True	Siphoviridae
SAMN23071833_42	SAMN23071833_42_prophage1	67113	112982	45.869	True	Siphoviridae
SAMN10984515_7	SAMN10984515_7_prophage1	29059	74854	45.795	True	Siphoviridae
SAMN37976389_3	SAMN37976389_3_prophage1	144189	189969	45.78	True	Siphoviridae
SAMN39710341_2	SAMN39710341_2_prophage1	543608	589253	45.645	False	Siphoviridae
SAMN33717545_1	SAMN33717545_1_prophage1	951371	996846	45.475	True	Myoviridae
SAMN33770585_2	SAMN33770585_2_prophage1	28944	74243	45.299	True	Siphoviridae
SAMN38149052_1	SAMN38149052_1_prophage1	1360724	1406018	45.294	True	Myoviridae
SAMN42165358_4	SAMN42165358_4_prophage1	312839	358128	45.289	True	Siphoviridae
SAMN42165357_4	SAMN42165357_4_prophage1	87294	132583	45.289	True	Siphoviridae
SAMN38411966_1	SAMN38411966_1_prophage3	2703205	2748494	45.289	True	Siphoviridae
SAMN38411965_1	SAMN38411965_1_prophage3	2703415	2748704	45.289	True	Siphoviridae
SAMN33169510_3	SAMN33169510_3_prophage1	187628	232917	45.289	True	Siphoviridae
SAMN20719236_2	SAMN20719236_2_prophage1	67185	112440	45.255	True	Siphoviridae
SAMN20719224_26	SAMN20719224_26_prophage1	44428	89683	45.255	True	Siphoviridae
SAMN06052263_1	SAMN06052263_1_prophage2	1536605	1581840	45.235	True	Siphoviridae
SAMN42165367_18	SAMN42165367_18_prophage1	76190	121390	45.2	True	Siphoviridae
SAMN40219830_4	SAMN40219830_4_prophage1	51523	96698	45.175	True	Siphoviridae
SAMN42178366_4	SAMN42178366_4_prophage1	73960	118944	44.984	True	Siphoviridae
SAMN10484942_19	SAMN10484942_19_prophage1	199722	244564	44.842	False	Siphoviridae
SAMN29421123_1	SAMN29421123_1_prophage1	593561	638357	44.796	False	Siphoviridae
SAMN11026759_5	SAMN11026759_5_prophage1	93807	138600	44.793	False	Myoviridae
SAMN04505729_1	SAMN04505729_1_prophage2	809754	854500	44.746	True	Siphoviridae
SAMN42178375_4	SAMN42178375_4_prophage1	111842	156573	44.731	True	Siphoviridae
SAMN43437030_34	SAMN43437030_34_prophage1	60571	105256	44.685	True	Siphoviridae
SAMN38730987_3	SAMN38730987_3_prophage1	89379	134064	44.685	True	Siphoviridae
SAMN20719246_23	SAMN20719246_23_prophage1	66131	110792	44.661	False	Siphoviridae
SAMN20719243_30	SAMN20719243_30_prophage1	56840	101501	44.661	False	Siphoviridae
SAMN20719242_19	SAMN20719242_19_prophage1	56830	101491	44.661	False	Siphoviridae
SAMN20719233_12	SAMN20719233_12_prophage1	56814	101475	44.661	False	Siphoviridae
SAMN20719226_34	SAMN20719226_34_prophage1	65934	110595	44.661	False	Siphoviridae
SAMN43785018_43	SAMN43785018_43_prophage1	77859	122505	44.646	True	Siphoviridae
SAMD00520112_1	SAMD00520112_1_prophage6	3141813	3186451	44.638	False	Siphoviridae
SAMN43785016_84	SAMN43785016_84_prophage1	75357	119859	44.502	True	Siphoviridae
SAMN07739063_13	SAMN07739063_13_prophage1	14796	59254	44.458	False	Siphoviridae
SAMN05504077_1	SAMN05504077_1_prophage1	317101	361497	44.396	False	Siphoviridae
SAMN02902409_18	SAMN02902409_18_prophage1	7991	52228	44.237	False	Siphoviridae
SAMN19374073_2	SAMN19374073_2_prophage1	96644	140779	44.135	False	Myoviridae
SAMN18490512_1	SAMN18490512_1_prophage2	1276480	1320545	44.065	False	Siphoviridae
SAMD00520110_1	SAMD00520110_1_prophage6	741577	785620	44.043	False	Siphoviridae
SAMN24805850_1	SAMN24805850_1_prophage2	1897787	1941618	43.831	False	Siphoviridae
SAMEA111326120_1	SAMEA111326120_1_prophage1	970687	1014493	43.806	False	Myoviridae
SAMEA111326118_1	SAMEA111326118_1_prophage1	970688	1014494	43.806	False	Myoviridae
SAMEA111326116_1	SAMEA111326116_1_prophage1	970688	1014494	43.806	False	Myoviridae
SAMEA111326113_1	SAMEA111326113_1_prophage1	970684	1014490	43.806	False	Myoviridae
SAMEA111326111_1	SAMEA111326111_1_prophage1	970713	1014519	43.806	False	Myoviridae
SAMEA111326086_1	SAMEA111326086_1_prophage1	970686	1014492	43.806	False	Myoviridae
SAMEA111326085_1	SAMEA111326085_1_prophage1	970688	1014494	43.806	False	Myoviridae
SAMEA111326119_1	SAMEA111326119_1_prophage1	970671	1014474	43.803	False	Myoviridae
SAMN10365228_16	SAMN10365228_16_prophage1	20697	64485	43.788	False	Siphoviridae
SAMN14389580_38	SAMN14389580_38_prophage1	47076	90729	43.653	True	Siphoviridae
SAMN43785077_3	SAMN43785077_3_prophage1	29473	73100	43.627	False	Siphoviridae
SAMN20719232_16	SAMN20719232_16_prophage1	12049	55668	43.619	True	Siphoviridae
SAMN37235621_1	SAMN37235621_1_prophage1	134375	177989	43.614	False	Siphoviridae
SAMN33929503_1	SAMN33929503_1_prophage4	1701371	1744861	43.49	True	Siphoviridae
SAMN14389577_13	SAMN14389577_13_prophage1	75804	119249	43.445	True	Siphoviridae
SAMN14389575_12	SAMN14389575_12_prophage1	75804	119249	43.445	True	Siphoviridae
SAMN13017133_4	SAMN13017133_4_prophage1	8235	51680	43.445	False	Siphoviridae
SAMN37405145_1	SAMN37405145_1_prophage1	839861	883281	43.42	False	Siphoviridae
SAMN33195158_1	SAMN33195158_1_prophage2	1188880	1232226	43.346	False	Siphoviridae
SAMN07167785_1	SAMN07167785_1_prophage2	1191731	1235077	43.346	False	Siphoviridae
SAMN07126147_1	SAMN07126147_1_prophage2	1191722	1235068	43.346	False	Siphoviridae
SAMN05162513_2	SAMN05162513_2_prophage1	203399	246745	43.346	False	Siphoviridae
SAMN14219501_4	SAMN14219501_4_prophage1	96313	139579	43.266	False	Myoviridae
SAMN31723118_1	SAMN31723118_1_prophage2	1229104	1272318	43.214	False	Myoviridae
SAMN23424515_1	SAMN23424515_1_prophage2	1228002	1271216	43.214	False	Myoviridae
SAMN23424514_1	SAMN23424514_1_prophage2	1229104	1272318	43.214	False	Myoviridae
SAMN04992858_1	SAMN04992858_1_prophage2	225439	268561	43.122	False	Myoviridae
SAMN11946128_36	SAMN11946128_36_prophage1	18842	61956	43.114	True	Siphoviridae
SAMN41754008_2	SAMN41754008_2_prophage1	420636	463746	43.11	True	Siphoviridae
SAMN41754004_2	SAMN41754004_2_prophage1	68093	111203	43.11	True	Siphoviridae
SAMN11946130_48	SAMN11946130_48_prophage1	18842	61940	43.098	True	Siphoviridae
SAMN14419873_9	SAMN14419873_9_prophage1	6499	49466	42.967	False	Siphoviridae
SAMN04528815_56	SAMN04528815_56_prophage1	91387	134336	42.949	False	Siphoviridae
SAMN02471126_14	SAMN02471126_14_prophage1	126393	169341	42.948	False	Siphoviridae
SAMD00520110_1	SAMD00520110_1_prophage9	2886540	2929454	42.914	False	Siphoviridae
SAMN10984474_37	SAMN10984474_37_prophage1	37314	80148	42.834	True	Siphoviridae
SAMN04858206_1	SAMN04858206_1_prophage1	409181	452014	42.833	False	Siphoviridae
SAMN15514048_3	SAMN15514048_3_prophage1	34126	76767	42.641	False	Siphoviridae
SAMEA104285100_1	SAMEA104285100_1_prophage1	644162	686799	42.637	True	Siphoviridae
SAMD00401071_2	SAMD00401071_2_prophage2	369095	411730	42.635	False	Siphoviridae
SAMN44216781_1	SAMN44216781_1_prophage1	405560	448167	42.607	False	Siphoviridae
SAMN17214539_1	SAMN17214539_1_prophage2	868925	911517	42.592	False	Siphoviridae
SAMN43028782_2	SAMN43028782_2_prophage1	1897568	1940147	42.579	False	Siphoviridae
SAMN36399042_1	SAMN36399042_1_prophage1	823576	866155	42.579	False	Siphoviridae
SAMN29255128_1	SAMN29255128_1_prophage2	2080421	2123000	42.579	False	Siphoviridae
SAMN22826457_1	SAMN22826457_1_prophage2	2077472	2120051	42.579	False	Siphoviridae
SAMN18897175_9	SAMN18897175_9_prophage1	1857	44365	42.508	False	Siphoviridae
SAMN41455268_1	SAMN41455268_1_prophage2	369697	412152	42.455	False	Siphoviridae
SAMN30552018_1	SAMN30552018_1_prophage2	1492959	1535410	42.451	False	Siphoviridae
SAMN30552012_1	SAMN30552012_1_prophage2	1492683	1535134	42.451	False	Siphoviridae
SAMN30551707_1	SAMN30551707_1_prophage2	1721279	1763730	42.451	False	Siphoviridae
SAMN42439989_1	SAMN42439989_1_prophage1	826723	869170	42.447	False	Siphoviridae
SAMN38167931_1	SAMN38167931_1_prophage1	826777	869224	42.447	False	Siphoviridae
SAMN29767175_1	SAMN29767175_1_prophage1	826727	869174	42.447	False	Siphoviridae
SAMN02469790_1	SAMN02469790_1_prophage1	826723	869170	42.447	False	Siphoviridae
SAMN14239242_1	SAMN14239242_1_prophage2	575182	617554	42.372	False	Siphoviridae
SAMN14219529_4	SAMN14219529_4_prophage1	101128	143474	42.346	False	Myoviridae
SAMN37988023_1	SAMN37988023_1_prophage1	595232	637556	42.324	False	Siphoviridae
SAMN07665578_3	SAMN07665578_3_prophage1	35691	78011	42.32	False	Siphoviridae
SAMN07665579_4	SAMN07665579_4_prophage1	34866	77180	42.314	False	Siphoviridae
SAMN07665575_2	SAMN07665575_2_prophage1	35691	77986	42.295	False	Siphoviridae
SAMN40867415_1	SAMN40867415_1_prophage3	2466240	2508517	42.277	False	Myoviridae
SAMN40867383_1	SAMN40867383_1_prophage3	2740335	2782612	42.277	False	Myoviridae
SAMN24562928_2	SAMN24562928_2_prophage1	260389	302666	42.277	False	Myoviridae
SAMN22569088_1	SAMN22569088_1_prophage2	1590321	1632598	42.277	False	Myoviridae
SAMN20825296_1	SAMN20825296_1_prophage2	1590317	1632594	42.277	False	Myoviridae
SAMN17169733_1	SAMN17169733_1_prophage2	1590332	1632609	42.277	False	Myoviridae
SAMN20691750_1	SAMN20691750_1_prophage1	826922	869158	42.236	False	Siphoviridae
SAMN11890406_1	SAMN11890406_1_prophage1	343506	385712	42.206	False	Myoviridae
SAMN11653942_29	SAMN11653942_29_prophage1	234359	276558	42.199	False	Siphoviridae
SAMN04088888_29	SAMN04088888_29_prophage1	234359	276558	42.199	False	Siphoviridae
SAMN02369449_5	SAMN02369449_5_prophage1	14801	56957	42.156	False	Siphoviridae
SAMN06130972_1	SAMN06130972_1_prophage3	2205154	2247292	42.138	False	Myoviridae
SAMN42165402_21	SAMN42165402_21_prophage1	385405	427267	41.862	False	Siphoviridae
SAMN43829082_2	SAMN43829082_2_prophage1	387031	428891	41.86	False	Siphoviridae
SAMN32933930_9	SAMN32933930_9_prophage1	19867	61727	41.86	False	Siphoviridae
SAMN31342456_1	SAMN31342456_1_prophage4	2185523	2227315	41.792	False	Siphoviridae
SAMN10984475_44	SAMN10984475_44_prophage1	21072	62863	41.791	False	Siphoviridae
SAMN12687753_1	SAMN12687753_1_prophage2	2378897	2420672	41.775	False	Myoviridae
SAMN09398943_11	SAMN09398943_11_prophage1	117488	159178	41.69	False	Siphoviridae
SAMN35751179_34	SAMN35751179_34_prophage2	121669	163292	41.623	False	Siphoviridae
SAMN36813915_1	SAMN36813915_1_prophage5	1711403	1753024	41.621	True	Siphoviridae
SAMN38650142_1	SAMN38650142_1_prophage1	1229143	1270733	41.59	False	Siphoviridae
SAMN35796819_1	SAMN35796819_1_prophage1	407918	449456	41.538	False	Siphoviridae
SAMN10742283_1	SAMN10742283_1_prophage2	1486056	1527594	41.538	False	Siphoviridae
SAMN39212590_1	SAMN39212590_1_prophage3	730591	772121	41.53	True	Siphoviridae
SAMD00061035_1	SAMD00061035_1_prophage3	717762	759292	41.53	True	Siphoviridae
SAMN19969485_4	SAMN19969485_4_prophage1	7285	48785	41.5	False	Myoviridae
SAMN37405141_1	SAMN37405141_1_prophage1	779090	820542	41.452	False	Siphoviridae
SAMN20114168_2	SAMN20114168_2_prophage1	102603	144047	41.444	False	Myoviridae
SAMN09642035_11	SAMN09642035_11_prophage1	102603	144047	41.444	False	Myoviridae
SAMN15162791_1	SAMN15162791_1_prophage1	687417	728812	41.395	False	Siphoviridae
SAMN28911227_35	SAMN28911227_35_prophage2	1841327	1882721	41.394	False	Siphoviridae
SAMN10984519_22	SAMN10984519_22_prophage1	20813	62187	41.374	False	Siphoviridae
SAMN41481838_1	SAMN41481838_1_prophage4	1627238	1668603	41.365	True	Siphoviridae
SAMN12280509_1	SAMN12280509_1_prophage4	1561944	1603279	41.335	False	Siphoviridae
SAMN37140673_2	SAMN37140673_2_prophage1	172280	213596	41.316	False	Myoviridae
SAMN42370084_6	SAMN42370084_6_prophage1	75607	116907	41.3	False	Siphoviridae
SAMN10365487_25	SAMN10365487_25_prophage1	38135	79435	41.3	False	Siphoviridae
SAMN39710339_1	SAMN39710339_1_prophage1	323453	364738	41.285	False	Siphoviridae
SAMN29938195_1	SAMN29938195_1_prophage1	126426	167709	41.283	False	Siphoviridae
SAMN21367937_22	SAMN21367937_22_prophage1	126827	168106	41.279	False	Siphoviridae
SAMN15532621_2	SAMN15532621_2_prophage1	1986	43265	41.279	False	Siphoviridae
SAMN15514047_2	SAMN15514047_2_prophage1	2036	43313	41.277	False	Siphoviridae
SAMN41007789_1	SAMN41007789_1_prophage1	103195	144459	41.264	False	Siphoviridae
SAMN27967737_11	SAMN27967737_11_prophage1	215857	257037	41.18	True	Siphoviridae
SAMN27545015_11	SAMN27545015_11_prophage1	115799	156979	41.18	False	Siphoviridae
SAMN28025456_1	SAMN28025456_1_prophage2	1690584	1731761	41.177	True	Siphoviridae
